"2019-09-07 00:18:17 [main] INFO  i.s.WorkshopEntitiesServiceAbstractIT - Starting WorkshopEntitiesServiceAbstractIT on SERSUS-PC with PID 8660 (started by Sersus in C:\Users\Sersus\IdeaProjects\WORKSHOP\internalREST)
""2019-09-07 00:18:17 [main] INFO  i.s.WorkshopEntitiesServiceAbstractIT - No active profile set, falling back to default profiles: default
""2019-09-07 00:18:22 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[default-update-timestamps-region] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-09-07 00:18:22 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[default-query-results-region] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-09-07 00:18:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[internal.entities.Classifier] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-09-07 00:18:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[internal.entities.Order] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-09-07 00:18:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[internal.entities.User.grantedAuthorities] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-09-07 00:18:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[internal.entities.Position] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-09-07 00:18:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[internal.entities.Position.employees] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-09-07 00:18:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[internal.entities.User.phones] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-09-07 00:18:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[internal.entities.Employee] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-09-07 00:18:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[internal.entities.Task.classifiers] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-09-07 00:18:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[internal.entities.Department] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-09-07 00:18:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[internal.entities.Task] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-09-07 00:18:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[internal.entities.User] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-09-07 00:18:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[internal.entities.Employee.phones] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-09-07 00:18:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[internal.entities.User.orders] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-09-07 00:18:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[internal.entities.Department.positions] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
""2019-09-07 00:18:23 [main] WARN  org.hibernate.orm.cache - HHH90001006: Missing cache[internal.entities.WorkshopGrantedAuthority] was created on-the-fly. The created cache will use a provider-specific default configuration: make sure you defined one. You can disable this warning by setting 'hibernate.javax.cache.missing_cache_strategy' to 'create'.
